date,state,location,fuel_type,price_cpl
2026-05-23,QLD,Brisbane,e10,183.8
2026-05-23,QLD,Brisbane,diesel,212.8
2026-05-23,QLD,Brisbane,p95,198.5
2026-05-23,QLD,Brisbane,ulp91,183.4
2026-05-23,QLD,Brisbane,p98,207.9
2026-05-23,QLD,Brisbane,b5,220.9
2026-05-23,QLD,Gladstone,diesel,218.0
2026-05-23,QLD,Gladstone,p95,202.0
2026-05-23,QLD,Gladstone,ulp91,186.4
2026-05-23,QLD,Mackay,diesel,215.0
2026-05-23,QLD,Mackay,p95,202.9
2026-05-23,QLD,Mackay,ulp91,187.8
2026-05-23,QLD,Mackay,p98,214.7
2026-05-23,QLD,Townsville,e10,188.0
2026-05-23,QLD,Townsville,diesel,214.3
2026-05-23,QLD,Townsville,p95,200.4
2026-05-23,QLD,Townsville,ulp91,186.2
2026-05-23,QLD,Townsville,p98,219.8
2026-05-23,QLD,Cairns,diesel,217.9
2026-05-23,QLD,Cairns,p95,204.5
2026-05-23,QLD,Cairns,ulp91,190.6
2026-05-23,NT,Darwin,diesel,210.0
2026-05-23,NT,Darwin,p95,197.3
2026-05-23,NT,Darwin,ulp91,187.2
2026-05-23,WA,Perth,diesel,211.0
2026-05-23,WA,Perth,p95,197.2
2026-05-23,WA,Perth,ulp91,183.2
2026-05-23,WA,Perth,p98,215.6
2026-05-23,WA,Port Hedland,diesel,217.9
2026-05-23,NSW,Sydney,e10,186.1
2026-05-23,NSW,Sydney,diesel,213.7
2026-05-23,NSW,Sydney,p95,197.4
2026-05-23,NSW,Sydney,ulp91,185.8
2026-05-23,NSW,Sydney,p98,213.1
2026-05-23,NSW,Newcastle,e10,187.6
2026-05-23,NSW,Newcastle,diesel,212.9
2026-05-23,NSW,Newcastle,p95,202.3
2026-05-23,NSW,Newcastle,ulp91,185.3
2026-05-23,NSW,Newcastle,p98,209.8
2026-05-23,NSW,Stolthaven,diesel,212.3
2026-05-23,VIC,Melbourne,e10,190.2
2026-05-23,VIC,Melbourne,diesel,213.9
2026-05-23,VIC,Melbourne,p95,196.0
2026-05-23,VIC,Melbourne,ulp91,185.5
2026-05-23,VIC,Melbourne,p98,208.1
2026-05-23,VIC,Hastings,e10,187.1
2026-05-23,VIC,Hastings,diesel,214.6
2026-05-23,VIC,Hastings,p95,197.2
2026-05-23,VIC,Hastings,ulp91,186.4
2026-05-23,VIC,Hastings,p98,207.8
2026-05-23,TAS,Bell Bay,diesel,222.6
2026-05-23,TAS,Bell Bay,ulp91,192.1
2026-05-23,TAS,Bell Bay,p98,210.8
2026-05-23,SA,Adelaide,diesel,214.4
2026-05-23,SA,Adelaide,p95,194.8
2026-05-23,SA,Adelaide,ulp91,186.2
2026-05-23,SA,Adelaide,p98,204.6
