date,state,location,fuel_type,price_cents_per_litre
2026-03-12,NSW,Newcastle,E10,209.55
2026-03-12,NSW,Newcastle,PULP 95,227.35
2026-03-12,NSW,Newcastle,PULP 98,234.93
2026-03-12,NSW,Newcastle,ULP 91,209.59
2026-03-12,NSW,Newcastle,ULS Diesel,243.05
2026-03-12,NSW,Stolthaven,ULS Diesel,242.47
2026-03-12,NSW,Sydney,E10,204.2
2026-03-12,NSW,Sydney,PULP 95,225.41
2026-03-12,NSW,Sydney,PULP 98,241.11
2026-03-12,NSW,Sydney,ULP 91,208.87
2026-03-12,NSW,Sydney,ULS Diesel,248.11
2026-03-12,NT,Darwin,PULP 95,223.91
2026-03-12,NT,Darwin,ULP 91,209.74
2026-03-12,NT,Darwin,ULS Diesel,245.11
2026-03-12,QLD,Brisbane,B5,253.56
2026-03-12,QLD,Brisbane,E10,203.9
2026-03-12,QLD,Brisbane,PULP 95,226.15
2026-03-12,QLD,Brisbane,PULP 98,236.8
2026-03-12,QLD,Brisbane,ULP 91,207.37
2026-03-12,QLD,Brisbane,ULS Diesel,246.69
2026-03-12,QLD,Cairns,PULP 95,229.37
2026-03-12,QLD,Cairns,ULP 91,211.21
2026-03-12,QLD,Cairns,ULS Diesel,249.28
2026-03-12,QLD,Gladstone,PULP 95,227.45
2026-03-12,QLD,Gladstone,ULP 91,211.13
2026-03-12,QLD,Gladstone,ULS Diesel,247.09
2026-03-12,QLD,Mackay,PULP 95,226.51
2026-03-12,QLD,Mackay,PULP 98,239.54
2026-03-12,QLD,Mackay,ULP 91,208.34
2026-03-12,QLD,Mackay,ULS Diesel,246.62
2026-03-12,QLD,Townsville,E10,204.87
2026-03-12,QLD,Townsville,PULP 95,223.68
2026-03-12,QLD,Townsville,PULP 98,244.29
2026-03-12,QLD,Townsville,ULP 91,206.82
2026-03-12,QLD,Townsville,ULS Diesel,245.85
2026-03-12,SA,Adelaide,PULP 95,220.95
2026-03-12,SA,Adelaide,PULP 98,231.44
2026-03-12,SA,Adelaide,ULP 91,211.67
2026-03-12,SA,Adelaide,ULS Diesel,244.8
2026-03-12,TAS,Bell Bay,PULP 98,236.64
2026-03-12,TAS,Bell Bay,ULP 91,208.58
2026-03-12,TAS,Bell Bay,ULS Diesel,252.3
2026-03-12,VIC,Hastings,E10,207.16
2026-03-12,VIC,Hastings,PULP 95,224.87
2026-03-12,VIC,Hastings,PULP 98,235.11
2026-03-12,VIC,Hastings,ULP 91,209.19
2026-03-12,VIC,Hastings,ULS Diesel,250.17
2026-03-12,VIC,Melbourne,E10,213.5
2026-03-12,VIC,Melbourne,PULP 95,221.5
2026-03-12,VIC,Melbourne,PULP 98,233.61
2026-03-12,VIC,Melbourne,ULP 91,211.13
2026-03-12,VIC,Melbourne,ULS Diesel,246.51
2026-03-12,WA,Perth,PULP 95,229.29
2026-03-12,WA,Perth,PULP 98,247.68
2026-03-12,WA,Perth,ULP 91,210.31
2026-03-12,WA,Perth,ULS Diesel,248.14
2026-03-12,WA,Port Hedland,ULS Diesel,249.84
2026-03-13,NSW,Newcastle,E10,213.71
2026-03-13,NSW,Newcastle,PULP 95,231.77
2026-03-13,NSW,Newcastle,PULP 98,239.34
2026-03-13,NSW,Newcastle,ULP 91,213.75
2026-03-13,NSW,Newcastle,ULS Diesel,248.7
2026-03-13,NSW,Stolthaven,ULS Diesel,245.37
2026-03-13,NSW,Sydney,E10,207.95
2026-03-13,NSW,Sydney,PULP 95,231.16
2026-03-13,NSW,Sydney,PULP 98,246.83
2026-03-13,NSW,Sydney,ULP 91,212.85
2026-03-13,NSW,Sydney,ULS Diesel,250.64
2026-03-13,NT,Darwin,PULP 95,228.36
2026-03-13,NT,Darwin,ULP 91,213.92
2026-03-13,NT,Darwin,ULS Diesel,248.05
2026-03-13,QLD,Brisbane,B5,256.09
2026-03-13,QLD,Brisbane,E10,207.64
2026-03-13,QLD,Brisbane,PULP 95,231.43
2026-03-13,QLD,Brisbane,PULP 98,242.52
2026-03-13,QLD,Brisbane,ULP 91,211.35
2026-03-13,QLD,Brisbane,ULS Diesel,249.22
2026-03-13,QLD,Cairns,PULP 95,237.9
2026-03-13,QLD,Cairns,ULP 91,218.27
2026-03-13,QLD,Cairns,ULS Diesel,255.5
2026-03-13,QLD,Gladstone,PULP 95,231.88
2026-03-13,QLD,Gladstone,ULP 91,215.29
2026-03-13,QLD,Gladstone,ULS Diesel,253.29
2026-03-13,QLD,Mackay,PULP 95,234.43
2026-03-13,QLD,Mackay,PULP 98,247.89
2026-03-13,QLD,Mackay,ULP 91,214.94
2026-03-13,QLD,Mackay,ULS Diesel,254.53
2026-03-13,QLD,Townsville,E10,212.84
2026-03-13,QLD,Townsville,PULP 95,233.25
2026-03-13,QLD,Townsville,PULP 98,254.29
2026-03-13,QLD,Townsville,ULP 91,215.07
2026-03-13,QLD,Townsville,ULS Diesel,252.11
2026-03-13,SA,Adelaide,PULP 95,225.38
2026-03-13,SA,Adelaide,PULP 98,235.84
2026-03-13,SA,Adelaide,ULP 91,215.83
2026-03-13,SA,Adelaide,ULS Diesel,247.72
2026-03-13,TAS,Bell Bay,PULP 98,241.04
2026-03-13,TAS,Bell Bay,ULP 91,211.23
2026-03-13,TAS,Bell Bay,ULS Diesel,255.19
2026-03-13,VIC,Hastings,E10,209.44
2026-03-13,VIC,Hastings,PULP 95,228.91
2026-03-13,VIC,Hastings,PULP 98,239.14
2026-03-13,VIC,Hastings,ULP 91,211.46
2026-03-13,VIC,Hastings,ULS Diesel,253.74
2026-03-13,VIC,Melbourne,E10,214.36
2026-03-13,VIC,Melbourne,PULP 95,222.64
2026-03-13,VIC,Melbourne,PULP 98,234.71
2026-03-13,VIC,Melbourne,ULP 91,211.98
2026-03-13,VIC,Melbourne,ULS Diesel,250.52
2026-03-13,WA,Perth,PULP 95,233.73
2026-03-13,WA,Perth,PULP 98,252.09
2026-03-13,WA,Perth,ULP 91,212.97
2026-03-13,WA,Perth,ULS Diesel,251.07
2026-03-13,WA,Port Hedland,ULS Diesel,252.78
